"X","Y"
8.3037034,48.8123803
8.3040885,48.8116249
8.304213,48.8113715
8.3044531,48.8108561
8.3046355,48.8105194
8.3047464,48.8103371
8.3048266,48.8102238
8.304903,48.8101295
8.3050129,48.8100073
8.3051312,48.8098886
8.305242,48.8097881
8.3053601,48.8096913
8.305485,48.8095991
8.3056163,48.8095121
8.3058554,48.8093729
8.306109,48.8092454
8.3063534,48.8091383
8.306632,48.8090334
8.3069209,48.8089416
8.3072188,48.8088632
8.3075248,48.8087991
8.3077891,48.8087588
8.308084,48.8087287
8.3083811,48.8087106
8.3087103,48.8087013
8.3091134,48.8086997
8.3094387,48.808714
8.3103289,48.8087834
8.3109693,48.8088158
8.3111827,48.8088201
8.3113162,48.8088183
8.3114502,48.8088124
8.3116374,48.8087985
8.3119556,48.8087629
8.3121923,48.8087291
8.3125067,48.8086785
8.3128971,48.8086067
8.3132301,48.808533
8.3135303,48.8084522
8.3137008,48.8083981
8.3138199,48.8083559
8.3140483,48.8082629
8.31418,48.8082023
8.3143509,48.8081171
8.3147198,48.8079137
8.3149713,48.8077578
8.315248,48.8075688
8.3154959,48.8073845
8.3156657,48.8072484
8.3158133,48.807123
8.316064,48.8068945
8.3163132,48.8066437
8.3164883,48.8064467
8.316682,48.8061999
8.3169577,48.8058155
8.3170819,48.8056166
8.3171516,48.805481
8.3172052,48.8053609
8.3172388,48.8052746
8.3172765,48.8051531
8.3175715,48.8039487
8.3176404,48.8036554
8.3177063,48.8033744
8.317751,48.8031448
8.3177836,48.803022
8.3178483,48.802832
8.3179004,48.8027129
8.3179585,48.8026139
8.3180196,48.8025356
8.3180922,48.8024619
8.3181728,48.8023918
8.3184622,48.8021703
8.3185725,48.8020858
8.3187537,48.8019576
8.3189977,48.8017929
8.3191916,48.8016671
8.3194308,48.8015208
8.3196582,48.8013927
8.3198529,48.8012971
8.3200107,48.8012286
8.320515,48.8010222
8.3207137,48.8009303
8.3208994,48.8008292
8.3211329,48.800687
8.3214477,48.8004747
8.3217888,48.800225
8.3218904,48.8001425
8.3219862,48.8000571
8.3221266,48.7999112
8.3222507,48.7997611
8.322379,48.799586
8.3224851,48.7994211
8.3226425,48.799156
8.3227413,48.7989721
8.322822,48.7988029
8.3228919,48.7986312
8.3229497,48.7984559
8.3230173,48.7981905
8.3230692,48.7979243
8.3230886,48.7977847
8.323131,48.7973824
8.3231989,48.7969239
8.323217,48.7967646
8.3232337,48.7964796
8.3232459,48.7960119
8.3232495,48.7958735
8.3232329,48.7955167
8.3232327,48.7953918
8.3232405,48.7953028
8.3232616,48.7951789
8.3232953,48.7950383
8.3233249,48.7949515
8.3233995,48.7947829
8.3234207,48.7947468
8.323457,48.7946848
8.323518,48.794607
8.3235781,48.7945487
8.3236643,48.7944813
8.3237775,48.7944063
8.3239163,48.7943234
8.3240204,48.794268
8.3241523,48.7942078
8.3242667,48.7941638
8.3244093,48.7941178
8.3245078,48.794092
8.3246099,48.7940712
8.3247424,48.7940546
8.3249306,48.7940437
8.3253589,48.7940331
8.3267837,48.7940379
8.3271627,48.7940415
8.3278336,48.7940696
8.3281562,48.7940723
8.3283707,48.7940616
8.3286357,48.7940332
8.3288975,48.7939938
8.3291553,48.7939443
8.3293833,48.7938904
8.3296553,48.7938131
8.33009,48.7936739
8.3304185,48.7935558
8.3306942,48.7934476
8.3309204,48.7933532
8.3311663,48.7932442
8.3315396,48.7930692
8.3317411,48.7929803
8.3321515,48.7928161
8.3324546,48.792706
8.3328836,48.7925706
8.3333233,48.7924456
8.3337485,48.7923354
8.3339892,48.7922778
8.3341274,48.7922447
8.3343853,48.792189
8.3351914,48.7920298
8.3360058,48.7918429
8.3361809,48.7917971
8.3364019,48.7917318
8.3366162,48.7916573
8.3367782,48.791594
8.3370256,48.791487
8.3373089,48.7913517
8.3375625,48.7912212
8.3378662,48.7910489
8.3380999,48.7909042
8.3384007,48.7907039
8.3385089,48.7906257
8.3388578,48.790358
8.3391013,48.7901936
8.3393955,48.7900124
8.339519,48.7899443
8.3396684,48.7898695
8.3398013,48.7898112
8.3399848,48.7897401
8.3405035,48.7895614
8.3412877,48.7892829
8.341769,48.78912
8.3428006,48.7887811
8.3432041,48.7886431
8.3435924,48.7885191
8.3436846,48.7884821
8.3437504,48.788451
8.3438899,48.7883687
8.3440301,48.7882658
8.3441516,48.788153
8.3442249,48.7880612
8.3442827,48.7879622
8.3443171,48.7878765
8.3443306,48.7878061
