"ID","X","Y"
"3464/5432",8.50664782011266,49.0332294650826
"3464/5432",8.52032288584979,49.0332870439622
"3464/5432",8.52040920197804,49.024295397487
"3464/5433",8.52032288584979,49.0332870439622
"3464/5433",8.50664782011266,49.0332294650826
"3464/5433",8.50655899609246,49.0422210792523
"3464/5433",8.52023652683882,49.0422786762666
"3464/5433",8.52032288584979,49.0332870439622
"3464/5434",8.52023652683882,49.0422786762666
"3464/5434",8.50655899609246,49.0422210792523
"3464/5434",8.50647012793735,49.0512126792454
"3464/5434",8.52015012491772,49.051270294401
"3464/5434",8.52023652683882,49.0422786762666
"3464/5435",8.52015012491772,49.051270294401
"3464/5435",8.50647012793735,49.0512126792454
"3464/5435",8.50638121561913,49.0602042650624
"3464/5435",8.52006368005906,49.0602618983659
"3464/5435",8.52015012491772,49.051270294401
"3464/5436",8.52006368005906,49.0602618983659
"3464/5436",8.50638121561913,49.0602042650624
"3464/5436",8.50629225910954,49.0691958367041
"3464/5436",8.51997719223536,49.0692534881619
"3464/5436",8.52006368005906,49.0602618983659
"3464/5437",8.51997719223536,49.0692534881619
"3464/5437",8.50629225910954,49.0691958367041
"3464/5437",8.50620325838032,49.078187394171
"3464/5437",8.51989066141915,49.0782450637896
"3464/5437",8.51997719223536,49.0692534881619
"3464/5438",8.51989066141915,49.0782450637896
"3464/5438",8.50620325838032,49.078187394171
"3464/5438",8.50611421340317,49.0871789374636
"3464/5438",8.51980408758292,49.0872366252496
"3464/5438",8.51989066141915,49.0782450637896
"3464/5439",8.51980408758292,49.0872366252496
"3464/5439",8.50611421340317,49.0871789374636
"3464/5439",8.50602512414978,49.0961704665827
"3464/5439",8.51971747069912,49.0962281725425
"3464/5439",8.51980408758292,49.0872366252496
"3464/5440",8.51971747069912,49.0962281725425
"3464/5440",8.50602512414978,49.0961704665827
"3464/5440",8.50593599059179,49.1051619815288
"3464/5440",8.51963081074021,49.105219705669
"3464/5440",8.51971747069912,49.0962281725425
"3460/5426",8.46629508847541,48.9701057112954
"3460/5426",8.45263742652606,48.9700417917216
"3460/5426",8.4525390851191,48.9790334276959
"3460/5426",8.46619920340943,48.9790973673955
"3460/5426",8.46629508847541,48.9701057112954
"3460/5427",8.46619920340943,48.9790973673955
"3460/5427",8.4525390851191,48.9790334276959
"3460/5427",8.45244069489712,48.9880250494617
"3460/5427",8.46610327074764,48.9880890092942
"3460/5427",8.46619920340943,48.9790973673955
"3460/5428",8.46610327074764,48.9880890092942
"3460/5428",8.45244069489712,48.9880250494617
"3460/5428",8.45234225582896,48.9970166570195
"3460/5428",8.46600729045965,48.9970806369922
"3460/5428",8.46610327074764,48.9880890092942
"3460/5429",8.46600729045965,48.9970806369922
"3460/5429",8.45234225582896,48.9970166570195
"3460/5429",8.45224376788344,49.00600825037
"3460/5429",8.46591126251506,49.00607225049
"3460/5429",8.46600729045965,48.9970806369922
"3460/5430",8.46591126251506,49.00607225049
"3460/5430",8.45224376788344,49.00600825037
